firstName,lastName,teams,primaryTeam,position,nationality,race,yearsActive,batHand,throwHand,awards,birthDay,deathDay,realName,nickNames,yearInducted,commentOne,commentTwo
Jose,Mendez,"[""Cuban Stars"", ""Kansas City Monarchs""]","[""Kansas City Monarchs""]",Pitcher / Manager,Cuban,Afro-Cuban,1908–1926,[],"[""Right""]",[],"March 19, 1887","October 31, 1928",José de la Caridad Méndez,"[""El Diamante Negro (The Black Diamond)""]",2006,Dominant pitcher in both Cuba and Negro Leagues.,Also served as a successful manager for Kansas City Monarchs.
Marvin,Miller,[],[],Executive,American,Caucasian,1966–1982 (MLBPA Director),[],[],[],"April 14, 1917","November 27, 2012",Marvin Julian Miller,[],2020,Transformed the MLB Players Association into a powerhouse union.,Instrumental in ending the Reserve Clause and ushering in free agency.
Minnie,Miñoso,"[""Cleveland Indians"", ""Chicago White Sox"", ""St. Louis Cardinals"", ""Washington Senators""]","[""Chicago White Sox""]",Outfielder / Third Baseman,Cuban,Afro-Latino,1949–1980,"[""Right""]","[""Right""]","[""13× All-Star"", ""3× Gold Glove Award""]",1925-11-29,2015-03-01,Saturnino Orestes Armas Miñoso Arrieta,"[""The Cuban Comet"", ""Mr. White Sox""]",2022,Trailblazer as first Black Cuban player in MLB.,Played in five different decades.
Johnny,Mize,"[""St. Louis Cardinals"", ""New York Giants"", ""New York Yankees""]","[""St. Louis Cardinals""]",First Baseman,American,Caucasian,1936–1953,"[""Left""]","[""Right""]","[""10× All-Star"", ""5× World Series Champion""]",1913-01-07,1993-06-02,John Robert Mize,"[""The Big Cat""]",1981,Hit 50 home runs in 1947.,Known for exceptional power and control at the plate.
Paul,Molitor,"[""Milwaukee Brewers"", ""Toronto Blue Jays"", ""Minnesota Twins""]","[""Milwaukee Brewers""]",Designated Hitter / Infielder,American,Caucasian,1978–1998,"[""Right""]","[""Right""]","[""7× All-Star"", ""World Series MVP (1993)"", ""Silver Slugger Award""]",1956-08-22,,Paul Leo Molitor,"[""The Ignitor""]",2004,"Amassed over 3,000 career hits.",Won World Series with Blue Jays in 1993.
Joe,Morgan,"[""Houston Colt .45s / Astros"", ""Cincinnati Reds"", ""San Francisco Giants"", ""Philadelphia Phillies"", ""Oakland Athletics""]","[""Cincinnati Reds""]",Second Baseman,American,African American,1963–1984,"[""Left""]","[""Right""]","[""2× NL MVP"", ""10× All-Star"", ""5× Gold Glove"", ""2× World Series Champion""]",1943-09-19,2020-10-11,Joe Leonard Morgan,"[""Little Joe""]",1990,Key member of the Big Red Machine.,Regarded as one of the greatest second basemen ever.
Jack,Morris,"[""Detroit Tigers"", ""Minnesota Twins"", ""Toronto Blue Jays"", ""Cleveland Indians""]","[""Detroit Tigers""]",Pitcher,American,Caucasian,1977–1994,"[""Right""]","[""Right""]","[""5× All-Star"", ""4× World Series Champion"", ""World Series MVP (1991)""]",1955-05-16,,Jack Morris,,2018,Pitched one of the greatest Game 7 performances in World Series history.,Won 254 career games over 18 seasons.
Eddie,Murray,"[""Baltimore Orioles"", ""Los Angeles Dodgers"", ""Cleveland Indians"", ""New York Mets"", ""Anaheim Angels""]","[""Baltimore Orioles""]",First Baseman,American,African American,1977–1997,"[""Switch""]","[""Right""]","[""8× All-Star"", ""3× Gold Glove"", ""3× Silver Slugger"", ""World Series champion (1983)""]",1956-02-24,,Eddie Clarence Murray,"[""Steady Eddie""]",2003,"One of only five players with both 3,000 hits and 500 home runs.",Key member of the 1983 World Series-winning Orioles.
Stan,Musial,"[""St. Louis Cardinals""]","[""St. Louis Cardinals""]",Outfielder / First Baseman,American,Caucasian,1941–1963,"[""Left""]","[""Left""]","[""24× All-Star"", ""3× NL MVP"", ""7× Batting Champion"", ""3× World Series champion""]",1920-11-21,2013-01-19,Stanley Frank Musial,"[""Stan the Man""]",1969,"One of baseball's greatest hitters with 3,630 career hits.",Synonymous with excellence and sportsmanship in St. Louis.
Mike,Mussina,"[""Baltimore Orioles"", ""New York Yankees""]","[""Baltimore Orioles""]",Pitcher,American,Caucasian,1991–2008,"[""Right""]","[""Right""]","[""5× All-Star"", ""7× Gold Glove""]",1968-12-08,,Michael Cole Mussina,"[""Moose""]",2019,Won 270 games with consistent excellence over 18 seasons.,One of the best control pitchers of his era.
Hal,Newhouser,"[""Detroit Tigers"", ""Cleveland Indians""]","[""Detroit Tigers""]",Pitcher,American,Caucasian,1939–1955,"[""Left""]","[""Left""]","[""2× AL MVP"", ""7× All-Star"", ""World Series champion (1945)""]",1921-05-20,1998-11-10,Harold Newhouser,"[""Prince Hal""]",1992,"Only pitcher to win back-to-back MVP awards (1944, 1945).",Led Tigers to World Series title in 1945.
Phil,Niekro,"[""Milwaukee/Atlanta Braves"", ""New York Yankees"", ""Cleveland Indians"", ""Toronto Blue Jays""]","[""Atlanta Braves""]",Pitcher,American,Caucasian,1964–1987,"[""Right""]","[""Right""]","[""5× All-Star"", ""5× Gold Glove""]","April 1, 1939","December 26, 2020",Philip Henry Niekro,"[""Knucksie""]",1997,Master of the knuckleball with 318 career wins.,Pitched until age 48.
Hank,O'Day,"[""Washington Nationals"", ""Toledo Blue Stockings"", ""Chicago White Stockings""]","[""Chicago White Stockings""]",Umpire / Pitcher,American,Caucasian,1884–1911 (as player and umpire),[],[],[],"July 8, 1859","July 2, 1935",Henry M. O'Day,[],2013,Served as an influential umpire and briefly managed the Cubs and Reds.,Officiated 10 World Series.
Walter,O'Malley,"[""Brooklyn/Los Angeles Dodgers""]","[""Los Angeles Dodgers""]",Executive / Owner,American,Caucasian,1944–1979,[],[],[],"October 9, 1903","August 9, 1979",Walter Francis O'Malley,[],2008,Owner who moved the Dodgers from Brooklyn to Los Angeles.,Pivotal figure in baseball's westward expansion.
Buck,O'Neil,"[""Kansas City Monarchs""]","[""Kansas City Monarchs""]",First Baseman / Manager / Ambassador,American,African American,1937–1955,"[""Right""]","[""Right""]",[],"November 13, 1911","October 6, 2006",John Jordan O'Neil Jr.,"[""Buck""]",2022,Legendary Negro Leagues player and the first Black MLB coach.,Instrumental in preserving Negro Leagues history.
Jim,O'Rourke,"[""Middletown Mansfields"", ""Boston Red Stockings"", ""New York Giants"", ""Buffalo Bisons"", ""Washington Senators""]","[""New York Giants""]",Outfielder / Catcher / Manager,American,Caucasian,1872–1904,"[""Right""]","[""Right""]",[],"September 1, 1850","January 8, 1919",James Henry O'Rourke,"[""Orator Jim""]",1945,Played professional baseball into his 50s.,"One of the first 1,000-hit club members."
Tony,Oliva,"[""Minnesota Twins""]","[""Minnesota Twins""]",Right Fielder / Designated Hitter,Cuban,Latino,1962–1976,"[""Left""]","[""Right""]","[""8× All-Star"", ""AL Rookie of the Year (1964)"", ""Gold Glove Award (1966)"", ""3× AL batting champion""]","July 20, 1938",,Antonio Oliva Lopez Hernandez Javique,[],2022,One of the best hitters of the 1960s and early '70s.,Beloved figure in Twins history.
David,Ortiz,"[""Minnesota Twins"", ""Boston Red Sox""]","[""Boston Red Sox""]",Designated Hitter / First Baseman,Dominican,Latino,1997–2016,"[""Left""]","[""Left""]","[""10× All-Star"", ""3× World Series champion"", ""World Series MVP (2013)"", ""7× Silver Slugger Award""]","November 18, 1975",,David Américo Ortiz Arias,"[""Big Papi""]",2022,One of the greatest clutch hitters in MLB history.,A hero of Boston’s historic 2004 championship run.
Mel,Ott,"[""New York Giants""]","[""New York Giants""]",Right Fielder / Manager,American,Caucasian,1926–1947,"[""Left""]","[""Right""]","[""12× All-Star""]","March 2, 1909","November 21, 1958",Melvin Thomas Ott,[],1951,First National League player to hit 500 home runs.,Known for his high leg kick at the plate.
Satchel,Paige,"[""Cleveland Indians"", ""St. Louis Browns"", ""Kansas City Monarchs""]","[""Kansas City Monarchs""]",Pitcher,American,African American,1926–1965,[],"[""Right""]","[""2× All-Star (MLB)"", ""Negro Leagues legend""]","July 7, 1906","June 8, 1982",Leroy Robert Paige,"[""Satchel""]",1971,"One of the greatest pitchers in baseball history, black or white.",Made MLB debut at age 42 after legendary Negro Leagues career.
Jim,Palmer,"[""Baltimore Orioles""]","[""Baltimore Orioles""]",Pitcher,American,Caucasian,1965–1984,"[""Right""]","[""Right""]","[""3× Cy Young Award"", ""6× All-Star"", ""3× World Series champion"", ""4× Gold Glove Award""]","October 15, 1945",,James Alvin Palmer,[],1990,Ace of the Orioles’ dynasty in the 1960s-70s.,Known for durability and postseason success.
Dave,Parker,"[""Pittsburgh Pirates"", ""Cincinnati Reds"", ""Oakland Athletics"", ""Milwaukee Brewers"", ""California Angels"", ""Toronto Blue Jays""]","[""Pittsburgh Pirates""]",Right Fielder,American,African American,1973–1991,"[""Left""]","[""Right""]","[""7× All-Star"", ""1978 NL MVP"", ""2× World Series champion (1979, 1989)"", ""3× Gold Glove""]","June 9, 1951",,David Gene Parker,"[""The Cobra""]",,One of the most feared hitters of the late 1970s.,Known for his powerful arm and clutch hitting.
Herb,Pennock,"[""Philadelphia Athletics"", ""Boston Red Sox"", ""New York Yankees""]","[""New York Yankees""]",Pitcher,American,Caucasian,1912–1934,"[""Left""]","[""Left""]","[""3× World Series champion (1923, 1927, 1932)""]","February 10, 1894","January 30, 1948",Herbert Jefferis Pennock,[],1948,A key lefty for the Yankees' first championship teams.,Noted for his control and durability.
Tony,Perez,"[""Cincinnati Reds"", ""Montreal Expos"", ""Boston Red Sox"", ""Philadelphia Phillies""]","[""Cincinnati Reds""]",First Baseman / Third Baseman,Cuban,Latino,1964–1986,"[""Right""]","[""Right""]","[""7× All-Star"", ""2× World Series champion (1975, 1976)""]","May 14, 1942",,Atanasio Pérez Rigal,[],2000,A central figure in the 'Big Red Machine' dynasty.,Clutch hitter with a reputation for leadership.
Gaylord,Perry,"[""San Francisco Giants"", ""Cleveland Indians"", ""Texas Rangers"", ""San Diego Padres"", ""New York Yankees"", ""Seattle Mariners"", ""Kansas City Royals""]","[""San Francisco Giants""]",Pitcher,American,Caucasian,1962–1983,"[""Right""]","[""Right""]","[""2× Cy Young Award winner"", ""5× All-Star""]","September 15, 1938","December 1, 2022",Gaylord Jackson Perry,[],1991,Master of the spitball and psychological gamesmanship.,One of the first to win Cy Young Awards in both leagues.
Mike,Piazza,"[""Los Angeles Dodgers"", ""Florida Marlins"", ""New York Mets"", ""San Diego Padres"", ""Oakland Athletics""]","[""New York Mets""]",Catcher,American,Caucasian,1992–2007,"[""Right""]","[""Right""]","[""12× All-Star"", ""10× Silver Slugger Award""]","September 4, 1968",,Michael Joseph Piazza,[],2016,Arguably the greatest hitting catcher in baseball history.,Beloved Mets icon with legendary power and clutch performances.
Eddie,Plank,"[""Philadelphia Athletics"", ""St. Louis Terriers"", ""St. Louis Browns""]","[""Philadelphia Athletics""]",Pitcher,American,Caucasian,1901–1917,"[""Left""]","[""Left""]",[],"August 31, 1875","February 24, 1926",Edward Stewart Plank,"[""Gettysburg Eddie""]",1946,First left-handed pitcher to win 300 games.,Helped lead Connie Mack's Athletics to multiple pennants.
Alex,Pompez,"[""New York Cubans (Owner/Executive)""]","[""New York Cubans""]",Executive / Owner,American,Afro-Cuban,1920s–1950,[],[],[],"May 3, 1890","March 14, 1974",Alejandro Pompez,[],2006,Pioneer owner in Negro Leagues and key figure in integrating baseball.,Helped Latin American players break into organized baseball.
Cum,Posey,"[""Homestead Grays (Owner/Executive)""]","[""Homestead Grays""]",Executive / Owner,American,African American,1910s–1940s,[],[],[],"June 20, 1890","March 28, 1946",Cumberland Willis Posey Jr.,[],2006,Owner and architect of the powerhouse Homestead Grays.,Dominant figure in Negro League baseball both on and off the field.
Kirby,Puckett,"[""Minnesota Twins""]","[""Minnesota Twins""]",Center Fielder,American,African American,1984–1995,"[""Right""]","[""Right""]","[""10× All-Star"", ""2× World Series champion (1987, 1991)"", ""6× Gold Glove"", ""6× Silver Slugger""]","March 14, 1960","March 6, 2006",Kirby Puckett,[],2001,Beloved face of the Twins franchise with a .318 career batting average.,Known for clutch postseason performances and infectious energy.
Old Hoss,Radbourn,"[""Providence Grays"", ""Boston Beaneaters"", ""Cincinnati Reds""]","[""Providence Grays""]",Pitcher,American,Caucasian,1881–1891,"[""Right""]","[""Right""]",[],"December 11, 1854","February 5, 1897",Charles Gardner Radbourn,"[""Old Hoss""]",1939,"Won an astounding 59 games in 1884, a record that still stands.",Known for his endurance and colorful personality.
Tim,Raines,"[""Montreal Expos"", ""Chicago White Sox"", ""New York Yankees"", ""Oakland Athletics"", ""Baltimore Orioles"", ""Florida Marlins""]","[""Montreal Expos""]",Left Fielder,American,African American,1979–2002,"[""Switch""]","[""Right""]","[""7× All-Star"", ""Silver Slugger"", ""World Series champion (1996, 1998)""]","September 16, 1959",,Timothy Raines,"[""Rock""]",2017,One of the greatest leadoff hitters and base stealers in MLB history.,Ranked 5th all-time in stolen bases (808).
Pee Wee,Reese,"[""Brooklyn Dodgers"", ""Los Angeles Dodgers""]","[""Brooklyn Dodgers""]",Shortstop,American,Caucasian,1940–1958,"[""Right""]","[""Right""]","[""10× All-Star"", ""World Series champion (1955)""]","July 23, 1918","August 14, 1999",Harold Henry Reese,"[""Pee Wee""]",1984,Team captain and leader of the Dodgers during their golden years.,Remembered for his support of Jackie Robinson.
Jim,Rice,"[""Boston Red Sox""]","[""Boston Red Sox""]",Left Fielder,American,African American,1974–1989,"[""Right""]","[""Right""]","[""8× All-Star"", ""AL MVP (1978)"", ""Silver Slugger""]","March 8, 1953",,James Edward Rice,[],2009,One of the most feared sluggers of his time.,Known for power hitting and clutch performances.
Sam,Rice,"[""Washington Senators"", ""Cleveland Indians""]","[""Washington Senators""]",Right Fielder,American,Caucasian,1915–1934,"[""Left""]","[""Right""]","[""World Series champion (1924)""]","February 20, 1890","October 13, 1974",Edgar Charles Rice,"[""Sam""]",1963,"Compiled over 2,987 career hits.",Known for speed and consistency at the plate.
Branch,Rickey,"[""St. Louis Browns"", ""St. Louis Cardinals"", ""Brooklyn Dodgers"", ""Pittsburgh Pirates""]","[""Brooklyn Dodgers""]",Executive / General Manager,American,Caucasian,1913–1955 (executive career),[],[],[],"December 20, 1881","December 9, 1965",Wesley Branch Rickey,[],1967,"Pioneered the farm system and signed Jackie Robinson, breaking MLB’s color barrier.",One of the most influential executives in baseball history.
Cal,"Ripken, Jr.","[""Baltimore Orioles""]","[""Baltimore Orioles""]",Shortstop / Third Baseman,American,Caucasian,1981–2001,"[""Right""]","[""Right""]","[""19× All-Star"", ""2× AL MVP"", ""2× Gold Glove"", ""8× Silver Slugger""]","August 24, 1960",,Calvin Edwin Ripken Jr.,"[""The Iron Man""]",2007,"Set the MLB record with 2,632 consecutive games played.",Redefined the shortstop position with power and durability.
Mariano,Rivera,"[""New York Yankees""]","[""New York Yankees""]",Relief Pitcher,Panamanian,Afro-Latino,1995–2013,"[""Right""]","[""Right""]","[""13× All-Star"", ""5× World Series champion"", ""ALCS MVP"", ""World Series MVP""]","November 29, 1969",,Mariano Rivera,"[""Mo"", ""Sandman""]",2019,MLB’s all-time leader in saves (652).,First player ever unanimously elected to the Hall of Fame.
Eppa,Rixey,"[""Philadelphia Phillies"", ""Cincinnati Reds""]","[""Cincinnati Reds""]",Pitcher,American,Caucasian,1912–1933,"[""Left""]","[""Left""]",[],"May 3, 1891","February 28, 1963",Eppa Rixey Jr.,[],1963,"Won 266 games, still the most by a lefty at retirement.",Known for his longevity and consistency.
Phil,Rizzuto,"[""New York Yankees""]","[""New York Yankees""]",Shortstop,American,Italian-American,1941–1956,"[""Right""]","[""Right""]","[""7× All-Star"", ""AL MVP (1950)"", ""7× World Series champion""]","September 25, 1917","August 13, 2007",Philip Francis Rizzuto,"[""The Scooter""]",1994,Key part of Yankees dynasty as both player and broadcaster.,Beloved for his enthusiastic commentary and 'Holy Cow!' catchphrase.
Robin,Roberts,"[""Philadelphia Phillies"", ""Baltimore Orioles"", ""Houston Colt .45s"", ""Chicago Cubs""]","[""Philadelphia Phillies""]",Pitcher,American,Caucasian,1948–1966,"[""Right""]","[""Right""]","[""7× All-Star""]","September 30, 1926","May 6, 2010",Robin Evan Roberts,[],1976,Led the Phillies to the 1950 NL pennant.,One of the most durable pitchers of the 1950s.
Brooks,Robinson,"[""Baltimore Orioles""]","[""Baltimore Orioles""]",Third Baseman,American,Caucasian,1955–1977,"[""Right""]","[""Right""]","[""18× All-Star"", ""16× Gold Glove"", ""World Series MVP (1970)""]","May 18, 1937","September 26, 2023",Brooks Calbert Robinson Jr.,"[""The Human Vacuum Cleaner""]",1983,Widely regarded as the greatest defensive third baseman ever.,Lifetime Oriole and Baltimore legend.
Frank,Robinson,"[""Cincinnati Reds"", ""Baltimore Orioles"", ""Los Angeles Dodgers"", ""California Angels"", ""Cleveland Indians""]","[""Baltimore Orioles""]",Outfielder / Manager,American,African American,1956–1976,"[""Right""]","[""Right""]","[""2× MVP"", ""Triple Crown (1966)"", ""14× All-Star"", ""2× World Series champion""]","August 31, 1935","February 7, 2019",Frank Robinson,[],1982,Only player to win MVP in both leagues.,First African American manager in MLB history.
Jackie,Robinson,"[""Brooklyn Dodgers""]","[""Brooklyn Dodgers""]",Second Baseman,American,African American,1947–1956,"[""Right""]","[""Right""]","[""NL MVP (1949)"", ""Rookie of the Year (1947)"", ""6× All-Star"", ""World Series champion (1955)""]","January 31, 1919","October 24, 1972",Jack Roosevelt Robinson,[],1962,Broke MLB's color barrier in 1947.,Icon of civil rights and sports history.
Wilbert,Robinson,"[""Philadelphia Athletics"", ""Baltimore Orioles""]","[""Baltimore Orioles""]",Catcher / Manager,American,Caucasian,"1886–1902 (player), managed until 1931","[""Right""]","[""Right""]",[],"June 29, 1863","August 8, 1934",Wilbert Robinson,"[""Uncle Robbie""]",1945,Managed Brooklyn Robins (later Dodgers) to two NL pennants.,"Known for his warm, jovial personality."
Iván,Rodriguez,"[""Texas Rangers"", ""Florida Marlins"", ""Detroit Tigers"", ""New York Yankees"", ""Houston Astros"", ""Washington Nationals""]","[""Texas Rangers""]",Catcher,Puerto Rican,Latino,1991–2011,"[""Right""]","[""Right""]","[""14× All-Star"", ""13× Gold Glove"", ""AL MVP (1999)"", ""World Series champion (2003)""]","November 27, 1971",,Iván Rodríguez Torres,"[""Pudge""]",2017,One of the greatest defensive catchers in MLB history.,Known for his cannon arm and leadership.
Bullet,Rogan,"[""Kansas City Monarchs""]","[""Kansas City Monarchs""]",Pitcher / Outfielder,American,African American,1920–1938,"[""Right""]","[""Right""]",[],"July 28, 1893","March 4, 1967",Charles Wilber Rogan,"[""Bullet""]",1998,One of the greatest two-way players in Negro Leagues history.,Star pitcher and hitter for the Monarchs.
Scott,Rolen,"[""Philadelphia Phillies"", ""St. Louis Cardinals"", ""Toronto Blue Jays"", ""Cincinnati Reds""]","[""St. Louis Cardinals""]",Third Baseman,American,Caucasian,1996–2012,"[""Right""]","[""Right""]","[""8× Gold Glove"", ""7× All-Star"", ""World Series champion (2006)""]","April 4, 1975",,Scott Bruce Rolen,[],2023,Elite defender at third base with consistent offensive production.,One of the top third basemen of his generation.
Edd,Roush,"[""Chicago White Sox"", ""Indianapolis Hoosiers"", ""Newark Peppers"", ""Cincinnati Reds"", ""New York Giants""]","[""Cincinnati Reds""]",Center Fielder,American,Caucasian,1913–1931,"[""Left""]","[""Left""]","[""2× NL batting champion""]","May 8, 1893","March 21, 1988",Edd J. Roush,[],1962,Key player for the Reds' 1919 World Series win.,Lifetime .323 hitter.
Red,Ruffing,"[""Boston Red Sox"", ""New York Yankees"", ""Chicago White Sox""]","[""New York Yankees""]",Pitcher,American,Caucasian,1924–1947,"[""Right""]","[""Right""]","[""6× All-Star"", ""6× World Series champion""]","May 3, 1905","February 17, 1986",Charles Herbert Ruffing,"[""Red""]",1967,Ace of multiple Yankees World Series teams.,Won 273 career games.
Jacob,Ruppert,[],"[""New York Yankees""]",Executive / Owner,American,Caucasian,1915–1939,[],[],[],"August 5, 1867","January 13, 1939",Jacob Ruppert Jr.,[],2013,Owner who transformed Yankees into dynasty.,"Signed Babe Ruth, built Yankee Stadium."
Amos,Rusie,"[""Indianapolis Hoosiers"", ""New York Giants"", ""Cincinnati Reds""]","[""New York Giants""]",Pitcher,American,Caucasian,1889–1901,"[""Right""]","[""Right""]",[],"May 30, 1871","December 6, 1942",Amos Wilson Rusie,"[""The Hoosier Thunderbolt""]",1977,Pitched five 30-win seasons.,Helped shape modern pitching distance rules.
Babe,Ruth,"[""Boston Red Sox"", ""New York Yankees"", ""Boston Braves""]","[""New York Yankees""]",Outfielder / Pitcher,American,Caucasian,1914–1935,"[""Left""]","[""Left""]","[""7× World Series Champion"", ""AL MVP (1923)"", ""MLB All-Century Team"", ""MLB All-Time Team""]",2/6/1895,8/16/1948,George Herman Ruth Jr.,"The Bambino, The Sultan of Swat",1936,One of the original five Hall of Fame inductees.,Hit 714 home runs; transformed baseball into America's pastime.
Nolan,Ryan,"[""New York Mets"", ""California Angels"", ""Houston Astros"", ""Texas Rangers""]","[""Texas Rangers""]",Pitcher,American,Caucasian,1966–1993,"[""Right""]","[""Right""]","[""8× All-Star"", ""MLB Strikeout Leader"", ""7 No-Hitters""]",1/31/1947,,Lynn Nolan Ryan Jr.,The Ryan Express,1999,"Holds the all-time strikeout record with 5,714.",Pitched an MLB-record seven no-hitters.
CC,Sabathia,"[""Cleveland Indians"", ""Milwaukee Brewers"", ""New York Yankees""]","[""New York Yankees""]",Pitcher,American,African American,2001–2019,"[""Left""]","[""Left""]","[""6× All-Star"", ""World Series champion (2009)"", ""AL Cy Young Award (2007)"", ""ALCS MVP (2009)"", ""2× MLB wins leader (2009, 2010)""]","July 21, 1980",,Carsten Charles Sabathia Jr.,"[""CC"", ""Dub""]",2025,"Accrued over 3,000 strikeouts and 250 wins; first‑ballot HOFer.",Known for his durability and postseason heroics with the Yankees.
Ryne,Sandberg,"[""Philadelphia Phillies"", ""Chicago Cubs""]","[""Chicago Cubs""]",Second Baseman,American,Caucasian,"1981, 1982–1994, 1996–1997","[""Right""]","[""Right""]","[""10× All-Star"", ""9× Gold Glove Award"", ""NL MVP (1984)""]","September 18, 1959",,Ryne Dee Sandberg,"[""Ryno""]",2005,Hall of Fame second baseman and cornerstone of Cubs ’84 team.,"Defensive standout with rare blend of power, speed, and fielding."
Ron,Santo,"[""Chicago Cubs"", ""Chicago White Sox""]","[""Chicago Cubs""]",Third Baseman,American,Caucasian,1960–1974,"[""Right""]","[""Right""]","[""9× All-Star"", ""5× Gold Glove""]","February 25, 1940","December 2, 2010",Ronald Edward Santo,[],2012,Beloved Cubs legend and broadcaster.,Advocate for diabetes awareness.
Louis,Santop,"[""Hilldale Club"", ""Philadelphia Giants""]","[""Hilldale Club""]",Catcher,American,African American,1909–1926,"[""Left""]","[""Right""]",[],"January 17, 1890","January 6, 1942",Louis Napoleon Santop Loftin,"[""Big Bertha""]",2006,One of the first superstar Negro League players.,Power-hitting catcher.
Ray,Schalk,"[""Chicago White Sox"", ""New York Giants""]","[""Chicago White Sox""]",Catcher,American,Caucasian,1912–1929,"[""Right""]","[""Right""]",[],"August 12, 1892","May 19, 1970",Raymond William Schalk,[],1955,Key defensive catcher of the 1910s-20s.,Played through the Black Sox scandal clean.
Mike,Schmidt,"[""Philadelphia Phillies""]","[""Philadelphia Phillies""]",Third Baseman,American,Caucasian,1972–1989,"[""Right""]","[""Right""]","[""12× All-Star"", ""3× NL MVP"", ""10× Gold Glove"", ""World Series MVP (1980)""]","September 27, 1949",,Michael Jack Schmidt,[],1995,Considered the greatest third baseman in MLB history.,Career-long Phillie with over 500 home runs.
Red,Schoendienst,"[""St. Louis Cardinals"", ""New York Giants"", ""Milwaukee Braves""]","[""St. Louis Cardinals""]",Second Baseman / Manager,American,Caucasian,"1945–1963 (player), 1965–1990 (manager/coach)","[""Switch""]","[""Right""]","[""10× All-Star"", ""2× World Series champion""]","February 2, 1923","June 6, 2018",Albert Fred Schoendienst,"[""Red""]",1989,Longtime Cardinals legend as both player and manager.,Lifelong contributor to baseball.
John,Schuerholz,"[""Atlanta Braves"", ""Kansas City Royals""]","[""Atlanta Braves""]",Executive,American,Caucasian,1981–2016,[],[],"[""2× World Series champion (1985, 1995)""]","October 1, 1940",,John Boland Schuerholz Jr.,[],2017,Architect of the Braves dynasty of the 1990s.,One of MLB's most respected executives.
Tom,Seaver,"[""New York Mets"", ""Cincinnati Reds"", ""Chicago White Sox"", ""Boston Red Sox""]","[""New York Mets""]",Pitcher,American,Caucasian,1967–1986,"[""Right""]","[""Right""]","[""12× All-Star"", ""3× Cy Young Award"", ""1967 NL Rookie of the Year"", ""World Series Champion (1969)""]","November 17, 1944","August 31, 2020",George Thomas Seaver,"[""Tom Terrific"", ""The Franchise""]",1992,Led the Mets to their first World Series title in 1969.,One of the greatest right-handed pitchers in MLB history.
Frank,Selee,"[""Boston Beaneaters"", ""Chicago Cubs""]","[""Boston Beaneaters""]",Manager,American,Caucasian,1890–1905,[],[],"[""5× National League Pennant Winner""]","October 26, 1859","January 5, 1909",Frank Gibson Selee,[],1999,Revolutionized team strategy in the dead-ball era.,Only manager to lead both Boston and Chicago to dominance.
Bud,Selig,[],"[""Major League Baseball""]",Commissioner,American,Caucasian,1992–2015,[],[],"[""Commissioner Emeritus""]","July 30, 1934",,Allan Huber Selig,"[""Bud""]",2017,"Oversaw MLB through expansion, labor peace, and steroids era.","Introduced Wild Card, Interleague Play, and instant replay."
Joe,Sewell,"[""Cleveland Indians"", ""New York Yankees""]","[""Cleveland Indians""]",Shortstop / Third Baseman,American,Caucasian,1920–1933,"[""Left""]","[""Right""]","[""World Series Champion (1920)""]","October 9, 1898","March 6, 1990",Joseph Wheeler Sewell,[],1977,Holds record for fewest strikeouts per at-bat in MLB history.,Renowned for remarkable bat control and contact hitting.
Al,Simmons,"[""Philadelphia Athletics"", ""Chicago White Sox"", ""Detroit Tigers"", ""Washington Senators"", ""Boston Braves"", ""Cincinnati Reds""]","[""Philadelphia Athletics""]",Outfielder,American,Caucasian,1924–1944,"[""Right""]","[""Right""]","[""2× World Series Champion"", ""Batting Titles (1930, 1931)""]","May 22, 1902","May 26, 1956",Aloysius Harry Simmons,"[""Bucketfoot Al""]",1953,One of the most consistent hitters of the 1920s and 1930s.,Integral part of Connie Mack’s powerhouse Athletics teams.
Ted,Simmons,"[""St. Louis Cardinals"", ""Milwaukee Brewers"", ""Atlanta Braves""]","[""St. Louis Cardinals""]",Catcher,American,Caucasian,1968–1988,"[""Switch""]","[""Right""]","[""8× All-Star"", ""Silver Slugger""]",8/9/1949,,Ted Lyle Simmons,Simba,2020,One of the best offensive catchers in MLB history.,Inducted via Modern Baseball Era Committee.
George,Sisler,"[""St. Louis Browns"", ""Washington Senators"", ""Boston Braves""]","[""St. Louis Browns""]",First Baseman,American,Caucasian,1915–1930,"[""Left""]","[""Left""]","[""2× AL Batting Champion""]","March 24, 1893","March 26, 1973",George Harold Sisler,"[""Gorgeous George""]",1939,"Hit over .400 twice, including a .420 season in 1922.",Held the single-season hits record (257) for 84 years.
Enos,Slaughter,"[""St. Louis Cardinals"", ""New York Yankees"", ""Kansas City Athletics""]","[""St. Louis Cardinals""]",Right Fielder,American,Caucasian,1938–1959,"[""Left""]","[""Right""]","[""10× All-Star"", ""4× World Series Champion""]","April 27, 1916","August 12, 2002",Enos Bradsher Slaughter,"[""Country""]",1985,Famous for his 'Mad Dash' home-to-home in 1946 World Series.,One of the game's fiercest competitors.
Hilton,Smith,"[""Kansas City Monarchs""]","[""Kansas City Monarchs""]",Pitcher,American,African American,1932–1948,"[""Right""]","[""Right""]",[],"February 27, 1907","November 18, 1983",Hilton Lee Smith,[],2001,"A dominant pitcher in the Negro Leagues, often overshadowed by Satchel Paige.",Known for his pinpoint control and devastating curveball.
